Data Entry Group Member,Route Number,Side of Street,Relative Spot Number,Absolute Spot Number,Regulation,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,Street Name,Street Direction,Start Bound Street,End Bound Street
Ysabelle,3a,Right,4,49,Resident Only,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Massachusetts Avenue,North,Chester Square - Entrance,Chester Square - Exit
Ysabelle,3a,Right,1,50,Resident Only,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Occupied,Unoccupied,Massachusetts Avenue,North,Chester Square - Entrance,Chester Square - Exit
Ysabelle,3a,Right,2,51,Resident Only,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Massachusetts Avenue,North,Chester Square - Entrance,Chester Square - Exit
Ysabelle,3a,Right,3,52,Resident Only,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Massachusetts Avenue,North,Chester Square - Entrance,Chester Square - Exit
Ysabelle,3a,Right,4,53,Resident Only,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Massachusetts Avenue,North,Chester Square - Entrance,Chester Square - Exit
Ysabelle,3b,Right,1,54,Unrestricted,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Massachusetts Avenue,North,Chester Square - Exit,Tremont Street
Ysabelle,3b,Right,1,55,Unrestricted,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Massachusetts Avenue,North,Chester Square - Exit,Tremont Street
Ysabelle,3b,Right,2,56,Unrestricted,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Massachusetts Avenue,North,Chester Square - Exit,Tremont Street
Ysabelle,3b,Right,3,57,Unrestricted,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Massachusetts Avenue,North,Chester Square - Exit,Tremont Street
Ysabelle,3b,Right,4,58,Unrestricted,Occupied,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Massachusetts Avenue,North,Chester Square - Exit,Tremont Street
